jahr,bfs_nummer,bfs_bezeichnung,administrative_ebene,indikator,wirtschaftssektor,anzahl
2018,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,65
2018,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2018,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,11
2018,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,69
2018,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2018,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,57
2018,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2018,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,25
2018,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2018,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,16
2018,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2017,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2017,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,28
2017,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2017,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,32
2017,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,9
2017,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,62
2017,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2017,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,46
2017,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2017,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2017,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2017,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2017,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2017,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2017,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,9
2017,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,58
2017,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,11
2017,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,68
2017,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2017,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2017,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2017,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2017,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2017,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,23
2017,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2017,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,30
2017,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2017,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2016,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,36
2016,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2016,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,42
2016,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,8
2016,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2016,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,8
2016,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2016,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2016,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2016,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,13
2016,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,61
2016,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2016,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,35
2016,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2016,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2016,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2016,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,8
2016,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2016,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,26
2016,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2016,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,33
2016,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2016,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2016,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2016,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,6
2015,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,38
2015,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,30
2015,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,17
2015,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,46
2015,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,13
2015,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,70
2015,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2015,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2015,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2015,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,6
2015,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2015,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2015,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2015,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,8
2015,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,69
2015,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,11
2015,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,55
2015,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2015,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2015,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,10
2015,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2015,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,6
2015,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,8
2015,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,29
2015,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,27
2015,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2015,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2014,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2014,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,57
2014,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2014,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,53
2014,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2014,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,72
2014,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,15
2014,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,60
2014,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2014,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2014,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2014,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2014,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2014,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2014,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2014,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2014,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,17
2014,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,78
2014,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,9
2014,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,47
2014,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2014,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2014,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2014,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2014,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2014,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,11
2014,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2014,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2014,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2014,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2014,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2014,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2013,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2013,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,55
2013,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,6
2023,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2023,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,44
2023,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,11
2023,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,66
2023,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2023,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2023,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2023,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,6
2023,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2023,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,84
2023,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2023,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2023,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2023,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,12
2023,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2023,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,30
2023,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2023,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2022,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2022,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,44
2022,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2022,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,63
2022,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2022,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2022,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2022,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2022,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,13
2022,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,81
2022,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2022,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2022,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2022,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,11
2022,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2022,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,28
2022,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2022,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2021,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2021,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,41
2021,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2021,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,34
2021,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2021,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,46
2021,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2021,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,65
2021,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2021,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,6
2021,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2021,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2021,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2021,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2021,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2021,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2021,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,10
2021,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,57
2021,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2021,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,57
2021,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2021,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2021,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2021,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2021,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2021,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2021,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2020,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2020,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2020,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2020,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2020,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,5
2020,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,13
2020,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,62
2020,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2021,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2021,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2021,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2021,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,30
2021,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2021,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,16
2021,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2021,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2021,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2020,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,17
2020,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2020,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,34
2020,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,55
2020,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2020,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,54
2020,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2020,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2020,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2020,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2020,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2020,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2020,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,64
2020,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2020,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2020,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2020,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2020,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2020,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,6
2020,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2020,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,28
2020,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,34
2017,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2016,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2016,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,47
2016,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,9
2016,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,46
