jahr,bfs_nummer,bfs_bezeichnung,administrative_ebene,indikator,wirtschaftssektor,anzahl
2016,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2016,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2016,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2016,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2015,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2015,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2015,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2014,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2014,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2014,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2014,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2023,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2023,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2022,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2022,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2021,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2021,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2021,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2021,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2020,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2020,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2013,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2013,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2013,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2013,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2019,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2019,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2019,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2019,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2017,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2017,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2016,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2016,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2016,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2016,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2015,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2015,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2015,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2014,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2014,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2014,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2014,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2023,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2023,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2022,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2022,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2021,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2021,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2020,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2020,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2021,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2021,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2020,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2013,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2013,2851,Kilchberg (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2013,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2013,2851,Kilchberg (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2019,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2019,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,13
2019,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2019,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,11
2018,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,10
2018,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2017,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2017,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,10
2017,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2017,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,13
2016,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,8
2015,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,12
2015,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,10
2014,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2014,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,10
2014,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2014,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,6
2013,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,12
2013,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2013,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,14
2023,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2023,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,14
2022,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2022,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,9
2021,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2021,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,8
2021,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2021,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2020,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2020,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2020,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,12
2016,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2016,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,8
2016,2764,Biel-Benken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2013,2764,Biel-Benken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2019,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2019,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,38
2019,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2019,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,32
2018,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,27
2018,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2018,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,31
2017,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2017,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,26
2017,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2017,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,34
2015,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2015,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,21
2015,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,25
2014,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2014,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,44
2014,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2014,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,29
2013,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,25
2023,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2023,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,26
2022,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,9
2022,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,31
2021,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2021,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,32
2021,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2021,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,31
2020,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2020,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,22
2020,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2020,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,31
2016,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2016,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,30
2016,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,6
2016,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,23
2013,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2013,2761,Aesch (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,26
2013,2761,Aesch (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2019,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2019,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,35
2019,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2019,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,36
2018,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2018,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,38
2018,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,36
2017,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2017,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,41
2017,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2017,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,32
2016,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2016,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,39
2015,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2015,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,30
2015,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2015,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,39
2014,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2014,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,56
2014,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,6
2014,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,38
2023,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2023,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,41
2022,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2022,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,42
2021,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2021,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,43
2021,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2021,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,36
2020,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2020,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,26
2020,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2020,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,27
2016,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,11
2016,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,38
2013,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2013,2771,Oberwil (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,39
2013,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2013,2771,Oberwil (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,39
2019,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2019,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,63
2019,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,10
2019,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,46
2018,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2018,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,47
2018,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,12
2018,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,63
2017,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2017,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,64
2017,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,6
2017,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,62
2016,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2016,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,49
2016,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2016,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,57
2015,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,15
2015,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,64
2015,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,12
2015,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,64
2014,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,10
2014,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,62
2014,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,10
2014,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,59
2023,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,16
2023,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,58
2022,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,9
2022,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,67
2021,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2021,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,55
2021,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,12
2021,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,63
2020,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,6
2020,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,61
2020,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,6
2020,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,57
2013,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,9
2013,2773,Reinach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,60
2013,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2013,2773,Reinach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,50
2020,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2020,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2020,2892,Oberdorf (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2020,2892,Oberdorf (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,13
2019,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2019,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2019,2892,Oberdorf (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2019,2892,Oberdorf (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,5
2018,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2018,2892,Oberdorf (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2892,Oberdorf (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2017,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2892,Oberdorf (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
